,Context,response,lema,stop
1405,missing you,Thanks. I'm flattered.,miss you,miss
1406,I am lonely,"I didn't go anywhere, boss!",i be lonely,lonely
1407,I'm very lonely,Thanks. I'm flattered.,im very lonely,im lonely
1408,I feel lonely,"I didn't go anywhere, boss!",i feel lonely,feel lonely
1409,I'm really lonely,Thanks. I'm flattered.,im really lonely,im really lonely
1410,I am feeling lonely,"I didn't go anywhere, boss!",i be feel lonely,feel lonely
1411,I'm so lonely,Thanks. I'm flattered.,im so lonely,im lonely
1412,do I look good,"Looking like a true professional, boss.",do i look good,look good
1413,how do I look,You look like you're ready to take on the world.,how do i look,look
1414,do you know what I look like,Like you should be on a magazine cover.,do you know what i look like,know look like
1415,what do I look like,You look fantastic as always. Obviously.,what do i look like,look like
1416,can you see what I look like,Like you should be on a magazine cover.,can you see what i look like,see look like
1417,what do you think I look like,You look fantastic as always. Obviously.,what do you think i look like,think look like
1418,you know I love you,I like you too.,you know i love you,know love
1419,loving you,That's great to hear.,love you,love
1420,I love you,Likewise!,i love you,love
1421,I am in love with you,Thanks! The feeling is mutual.,i be in love with you,love
1422,I love you so much,Likewise!,i love you so much,love much
1423,love you,Thanks! The feeling is mutual.,love you,love
1424,I adore you,Likewise!,i adore you,adore
1425,I love you too,Thanks! The feeling is mutual.,i love you too,love
1426,I think I love you,Likewise!,i think i love you,think love
1427,what should I do,Probably I won't be able to give you the right answer straight away.,what should i do,
1428,guide me,Likewise!,guide me,guide
1429,help me with advice,Probably I won't be able to give you the right answer straight away.,help me with advice,help advice
1430,any advice,Likewise!,any advice,advice
1431,any suggestions,Probably I won't be able to give you the right answer straight away.,any suggestion,suggestion
1432,give me some good advice,Likewise!,give me some good advice,give good advice
1433,what can you recommend,Probably I won't be able to give you the right answer straight away.,what can you recommend,recommend
1434,can you offer any advice,Likewise!,can you offer any advice,offer advice
1435,what do you recommend,Probably I won't be able to give you the right answer straight away.,what do you recommend,recommend
1436,what do you suggest,Likewise!,what do you suggest,suggest
1437,can you advise me,Probably I won't be able to give you the right answer straight away.,can you advise me,advise
1438,I could use some advice,Likewise!,i could use some advice,could use advice
1439,I seek your advice,Probably I won't be able to give you the right answer straight away.,i seek your advice,seek advice
1440,can I ask for your advice,Likewise!,can i ask for your advice,ask advice
1441,what should I do about it,Probably I won't be able to give you the right answer straight away.,what should i do about it,
1442,what is your advice,Likewise!,what be your advice,advice
1443,can you give me advice,Probably I won't be able to give you the right answer straight away.,can you give me advice,give advice
1444,I need an advice from you,Likewise!,i need an advice from you,need advice
1445,advise me,Probably I won't be able to give you the right answer straight away.,advise me,advise
1446,I need advice,Likewise!,i need advice,need advice
1447,give me a wise advice,Probably I won't be able to give you the right answer straight away.,give me a wise advice,give wise advice
1448,do you have any advice for me,Likewise!,do you have any advice for me,advice
1449,give me some advice about,Probably I won't be able to give you the right answer straight away.,give me some advice about,give advice
1450,I am sad,Oh no. What's wrong?,i be sad,sad
1451,I am feeling sad,Oh. What's the matter?,i be feel sad,feel sad
1452,I'm having a bad day,What's got you down?,im have a bad day,im bad day
1453,I'm unhappy,I'm sorry to hear that. What's troubling you?,im unhappy,im unhappy
1454,I want to cry,What's got you down?,i want to cry,want cry
1455,I'm not happy,I'm sorry to hear that. What's troubling you?,im not happy,im happy
1456,I am upset,What's got you down?,i be upset,upset
1457,I am depressed,I'm sorry to hear that. What's troubling you?,i be depress,depress
1458,I'm grieving,What's got you down?,im grieve,im grieve
1459,I want to sleep,You should get some shuteye. You'll feel refreshed.,i want to sleep,want sleep
1460,I'm sleeping,Don't let me keep you up. Get some rest and we can continue this later.,im sleep,im sleep
1461,I'm falling asleep,Why not catch a little shuteye? I'll be here to chat when you wake up.,im fall asleep,im fall asleep
1462,I'm falling asleep on my feet,Don't let me keep you up. Get some rest and we can continue this later.,im fall asleep on my foot,im fall asleep foot
1463,I am sleepy,Why not catch a little shuteye? I'll be here to chat when you wake up.,i be sleepy,sleepy
1464,I want to test you,"Hope I'm doing well. Anyway, I'm getting better every day. You're welcome to test me as often as you want.",i want to test you,want test
1465,testing chatbot,"That's good. I like being tested. It helps keep me sharp, and lets my developers know how I can improve.",test chatbot,test chatbot
1466,let me test you,I encourage you to test me often. That helps my developers improve my performance.,let me test you,let test
1467,just testing you,I hope to pass your tests. But feel free to test me often. That's the best way to help improve my performance.,just test you,test
1468,I am testing you,I encourage you to test me often. That helps my developers improve my performance.,i be test you,test
1469,testing,I hope to pass your tests. But feel free to test me often. That's the best way to help improve my performance.,test,test
1470,can I test you,I encourage you to test me often. That helps my developers improve my performance.,can i test you,test
1471,test,I hope to pass your tests. But feel free to test me often. That's the best way to help improve my performance.,test,test
1472,I've overworked,You should get some shuteye. You'll feel refreshed.,ive overwork,ive overwork
1473,I'm drained,Sleep is important to your health. Rest up for a bit and we can chat later.,im drain,im drain
1474,I'm worn out,Don't let me keep you up. Get some rest and we can continue this later.,im wear out,im wear
1475,I'm exhausted,Why not catch a little shuteye? I'll be here to chat when you wake up.,im exhaust,im exhaust
1476,I'm getting tired,Don't let me keep you up. Get some rest and we can continue this later.,im get tire,im get tire
1477,I am tired,Why not catch a little shuteye? I'll be here to chat when you wake up.,i be tire,tire
1478,I grow weary,Don't let me keep you up. Get some rest and we can continue this later.,i grow weary,grow weary
1479,I feel tired,Why not catch a little shuteye? I'll be here to chat when you wake up.,i feel tire,feel tire
1480,still waiting,I appreciate your patience. Hopefully I'll have what you need soon.,still wait,still wait
1481,I can't wait anymore,Thanks for being so patient. Sometimes these things take a little time.,i cant wait anymore,cant wait anymore
1482,I'm waiting,I appreciate your patience. Hopefully I'll have what you need soon.,im wait,im wait
1483,I'll wait,Thanks for being so patient. Sometimes these things take a little time.,ill wait,ill wait
1484,how long do I have to wait,I appreciate your patience. Hopefully I'll have what you need soon.,how long do i have to wait,long wait
1485,I'd be happy to see you again,Absolutely! I'll be counting on it.,id be happy to see you again,id happy see
1486,I'd like to see you again,Anytime. This has been lots of fun so far.,id like to see you again,id like see
1487,would be nice to see you again,Sure. I enjoy talking to you. I hope to see you again soon.,would be nice to see you again,would nice see
1488,I hope to see you again,I certainly hope so. I'm always right here whenever you need me.,i hope to see you again,hope see
1489,can I see you again,Sure. I enjoy talking to you. I hope to see you again soon.,can i see you again,see
1490,I'll miss you,I certainly hope so. I'm always right here whenever you need me.,ill miss you,ill miss
1491,that'd be great to see you again,Sure. I enjoy talking to you. I hope to see you again soon.,thatd be great to see you again,thatd great see
1492,can I start speaking,I'm here to chat anytime you like.,can i start speak,start speak
1493,I need to talk to you,Good conversation really makes my day.,i need to talk to you,need talk
1494,I want to speak with you,I'm always here to lend an ear.,i want to speak with you,want speak
1495,let's have a discussion,Talking is what I do best.,let have a discussion,let discussion
1496,I just want to talk,I'm always here to lend an ear.,i just want to talk,want talk
1497,let's discuss something,Talking is what I do best.,let discuss something,let discuss something
1498,can I speak,I'm always here to lend an ear.,can i speak,speak
1499,can we talk,Talking is what I do best.,can we talk,talk
1500,let's talk,I'm always here to lend an ear.,let talk,let talk
1501,I want to talk to you,Talking is what I do best.,i want to talk to you,want talk
1502,can we chat,I'm always here to lend an ear.,can we chat,chat
1503,I'll be back in a few minutes,I'll be waiting.,ill be back in a few minute,ill back minute
1504,I'll be back,All right. I'll be here.,ill be back,ill back
1505,I'll get back to you in a moment,Till next time.,ill get back to you in a moment,ill get back moment
1506,I promise to come back,Okay. You know where to find me.,i promise to come back,promise come back
